SpreadSheetApp#create(name)#Spreadsheet
SpreadSheetApp#create(name, rows, columns)#Spreadsheet
SpreadSheetApp#flush()#void
SpreadSheetApp#getActive()#Spreadsheet
SpreadSheetApp#getActiveRange()#Range
SpreadSheetApp#getActiveSheet()#Sheet
SpreadSheetApp#getActiveSpreadsheet()#Spreadsheet
SpreadSheetApp#getUi()#Ui
SpreadSheetApp#newDataValidation()#DataValidationBuilder
SpreadSheetApp#open(file)#Spreadsheet
SpreadSheetApp#openById(id)#Spreadsheet
SpreadSheetApp#openByUrl(url)#Spreadsheet
SpreadSheetApp#setActiveRange(range)#Range
SpreadSheetApp#setActiveSheet(sheet)#Sheet
SpreadSheetApp#setActiveSpreadsheet(newActiveSpreadsheet)#void
